index,Tanggal,Positif,Sembuh,Meninggal,ODP,PDP
1,4/3/2020,14,4,6,420,49
2,4/4/2020,0,9,6,347,63
3,4/5/2020,2,19,7,94,28
4,4/6/2020,30,21,9,77,19
5,4/7/2020,10,23,11,91,24
6,4/8/2020,6,23,11,31,18
7,4/9/2020,7,23,13,81,5
8,4/10/2020,33,23,14,70,17
9,4/11/2020,10,30,14,69,36
10,4/12/2020,28,30,16,22,0
11,4/13/2020,1,34,16,54,22
12,4/14/2020,7,39,18,23,16
13,4/15/2020,9,42,22,3,7
14,4/16/2020,8,43,22,47,11
15,4/17/2020,19,44,22,350,23
16,4/18/2020,10,49,25,-1,57
17,4/19/2020,27,60,26,96,33
18,4/20/2020,92,70,27,28,9
19,4/21/2020,5,74,32,64,41
20,4/22/2020,13,79,33,64,16
21,4/23/2020,10,80,35,22,20
22,4/24/2020,22,82,35,233,24
23,4/25/2020,13,98,35,28,45
24,4/26/2020,8,105,36,113,62
25,4/27/2020,0,107,37,32,16
26,4/28/2020,13,115,37,19,0
27,4/29/2020,12,122,37,55,47
28,4/30/2020,26,135,37,147,12
29,5/1/2020,56,145,39,43,10
30,5/2/2020,30,151,40,9,10
31,5/3/2020,24,200,42,37,34
