index,Positif,Jumlah Kasus,Total Kasus,,x^2,x*y1,x*y2,,,,,,,,,,,,,,,
1,16-Mar-20,17,17,,1,17,17,,,,,,,,,,,,,,,
2,17-Mar-20,38,55,,4,76,110,,,,,,,,,,,,,,,
3,18-Mar-20,55,110,,9,165,330,,,,,,,,,,,,,,,
4,19-Mar-20,82,192,,16,328,768,,,,,,,,,,,,,,,
5,20-Mar-20,60,252,,25,300,1260,,,,,,,,,,,,,,,
6,21-Mar-20,81,333,,36,486,1998,,,,,,,,,,,,,,,
7,22-Mar-20,64,397,,49,448,2779,,,,,,,,,,,,,,,
8,23-Mar-20,66,463,,64,528,3704,,,,,,,,,,,,,,,
9,24-Mar-20,106,569,,81,954,5121,,,,,,,,,,,,,,,
10,25-Mar-20,104,673,,100,1040,6730,,,,,,,,,,,,,,,
11,26-Mar-20,103,776,,121,1133,8536,,,,,,,,,,,,,,,
12,27-Mar-20,153,929,,144,1836,11148,,,,,,,,,,,,,,,
13,28-Mar-20,109,1038,,169,1417,13494,,,,,,,,,,,,,,,
14,29-Mar-20,130,1168,,196,1820,16352,,,,,,,,,,,,,,,
15,30-Mar-20,129,1297,,225,1935,19455,,,,,,,,,,,,,,,
16,31-Mar-20,114,1411,,256,1824,22576,,,,,,,,,,,,,,,
17,1-Apr-20,149,1560,,289,2533,26520,,,,,,,,,,,,,,,
18,2-Apr-20,113,1673,,324,2034,30114,,,,,,32,16-Apr-20,380,5399,,1024,12160,172768,,12577.27795
19,3-Apr-20,196,1869,,361,3724,35511,,,,,,33,17-Apr-20,407,5399,,1089,13431,178167,,13470.92665
20,4-Apr-20,106,1975,,400,2120,39500,,,,,,34,18-Apr-20,325,5399,,1156,11050,183566,,10756.88246
21,5-Apr-20,181,2156,,441,3801,45276,,,,,,35,19-Apr-20,327,5399,,1225,11445,188965,,10823.07866
22,6-Apr-20,218,2374,,484,4796,52228,,,,,,,,,,,,,,,
23,7-Apr-20,247,2621,,529,5681,60283,,,,,,,,,,,,,,,
24,8-Apr-20,218,2839,,576,5232,68136,,,,,,,,,,,,,,,
25,9-Apr-20,337,3176,,625,8425,79400,,,,,,,,,,,,,,,
26,10-Apr-20,219,3395,,676,5694,88270,,,,,,,,,,,,,,,
27,11-Apr-20,330,3725,,729,8910,100575,,,,,,,,,,,,,,,
28,12-Apr-20,399,4124,,784,11172,115472,,,,,,,,,,,,,,,
29,13-Apr-20,316,4440,,841,9164,128760,,,,,,,,,,,,,,,
30,14-Apr-20,282,4722,,900,8460,141660,,,,,,,,,,,,,,,
31,15-Apr-20,297,5019,,961,9207,155589,,,,,,,,,,,,,,,
32,16-Apr-20,380,5399,,1024,12160,172768,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
x,,y_positif,y_total kasus,,X2,xy_positif,xy_total,,,,,,,,,,,,,,,
496,,5399,60747,,11440,117420,1454440,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2677904,,,,,,,,3640020,,,,,,,,,,,,,,
,,m =,33.09809987,29.35301173,,8.991337953,b1,,318.0226976,7047.943806,137.696347,,,,,,,,,,,
,,,,,,30.29988307,b0,,-3128.782516,,,,,,,,,,,,,
,,c=,8.991337953,,,,,338.8035903,,,,,,,,,,,,,,
,,,"FORECAST. LINEAR (30, : A6, B2: B6)",,,,,,,,,,,,,,,,,,,
